"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/app_en.arb", "JSON", 0, 63, 0, 0, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/app_es.arb", "JSON", 0, 63, 0, 0, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/app_pt.arb", "JSON", 0, 63, 0, 0, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/generated/app_localizations.dart", "Dart", 74, 0, 124, 31, 229
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/generated/app_localizations_en.dart", "Dart", 35, 0, 3, 18, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/generated/app_localizations_es.dart", "Dart", 35, 0, 3, 18, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/generated/app_localizations_pt.dart", "Dart", 35, 0, 3, 18, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/main.dart", "Dart", 69, 0, 0, 6, 75
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/models/crypto_quote_model.dart", "Dart", 31, 0, 1, 3, 35
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/models/kline_model.dart", "Dart", 30, 0, 1, 3, 34
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/models/user_preferences_model.dart", "Dart", 10, 0, 1, 2, 13
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/crypto_quote_notifier.dart", "Dart", 28, 0, 0, 5, 33
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/crypto_quote_state.dart", "Dart", 15, 0, 0, 5, 20
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/favorites_notifier.dart", "Dart", 51, 0, 0, 8, 59
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/favorites_state.dart", "Dart", 14, 0, 0, 4, 18
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/kline_notifier.dart", "Dart", 45, 0, 0, 7, 52
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/kline_state.dart", "Dart", 15, 0, 0, 5, 20
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/preferences_notifier.dart", "Dart", 59, 0, 0, 7, 66
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/preferences_state.dart", "Dart", 15, 0, 0, 5, 20
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/routes/app_router.dart", "Dart", 18, 0, 0, 4, 22
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/detail_screen.dart", "Dart", 375, 0, 0, 20, 395
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/home_screen.dart", "Dart", 54, 0, 0, 4, 58
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/preferences_screen.dart", "Dart", 121, 0, 0, 13, 134
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/tabs/favorites_tab.dart", "Dart", 51, 0, 0, 8, 59
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/tabs/quotes_tab.dart", "Dart", 63, 0, 0, 9, 72
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/widgets/drawer_widget.dart", "Dart", 34, 0, 0, 3, 37
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/widgets/quote_list_tile.dart", "Dart", 52, 0, 0, 5, 57
"Total", "-", 1329, 189, 136, 211, 1865